Holes,WinPct,Tie-Pct,Loss-Pct,Ranks
AKs,0.6498,0.0219,0.3283,8
AQs,0.6467,0.0232,0.3301,9
AJs,0.6323,0.0265,0.3412,11
ATs,0.6263,0.0294,0.3443,13
A9s,0.6044,0.0349,0.3607,18
A8s,0.5995,0.0364,0.3641,20
A7s,0.5866,0.0407,0.3728,24
A6s,0.5727,0.0424,0.3849,30
A5s,0.5749,0.0444,0.3808,26
A4s,0.5648,0.0454,0.3898,34
A3s,0.5594,0.0436,0.3971,37
A2s,0.5494,0.0437,0.4069,45
KQs,0.6134,0.0249,0.3617,16
KJs,0.6009,0.0274,0.3716,21
KTs,0.5971,0.031,0.3719,22
K9s,0.5767,0.0351,0.3882,29
K8s,0.5584,0.0379,0.4037,38
K7s,0.5479,0.0421,0.41,46
K6s,0.541,0.0428,0.4162,48
K5s,0.529,0.0454,0.4256,54
K4s,0.5214,0.0463,0.4322,59
K3s,0.5176,0.0459,0.4365,62
K2s,0.5042,0.0463,0.4495,70
QJs,0.5776,0.0304,0.392,32
QTs,0.5751,0.034,0.391,33
Q9s,0.553,0.0377,0.4093,44
Q8s,0.5376,0.0409,0.4215,50
Q7s,0.5177,0.0429,0.4394,63
Q6s,0.5103,0.0466,0.4431,66
Q5s,0.5,0.0487,0.4513,72
Q4s,0.4889,0.05,0.4611,78
Q3s,0.4818,0.0501,0.4681,83
Q2s,0.4685,0.049,0.4826,92
JTs,0.5546,0.0363,0.4091,43
J9s,0.5308,0.0401,0.4292,55
J8s,0.5177,0.0428,0.4394,64
J7s,0.498,0.0461,0.4559,74
J6s,0.4784,0.05,0.4717,85
J5s,0.4698,0.0519,0.4783,90
J4s,0.4605,0.0524,0.4871,97
J3s,0.4544,0.0529,0.4927,101
J2s,0.4447,0.0532,0.5021,105
T9s,0.5205,0.0452,0.4344,61
T8s,0.5037,0.0483,0.448,67
T7s,0.4881,0.0515,0.4605,79
T6s,0.4698,0.0556,0.4746,88
T5s,0.4481,0.0579,0.4939,102
T4s,0.4414,0.0581,0.5005,107
T3s,0.4309,0.058,0.5111,114
T2s,0.4263,0.0581,0.5156,118
98s,0.4929,0.0521,0.455,76
97s,0.4699,0.0544,0.4757,89
96s,0.4527,0.0574,0.4898,100
95s,0.4362,0.0609,0.5029,110
94s,0.419,0.0593,0.5216,122
93s,0.409,0.0609,0.5301,127
92s,0.3971,0.0614,0.5416,135
87s,0.4608,0.0583,0.4809,94
86s,0.4396,0.0619,0.4986,106
85s,0.4266,0.0629,0.5105,116
84s,0.4026,0.0638,0.5337,129
83s,0.3832,0.064,0.5528,140
82s,0.3796,0.0645,0.5559,143
76s,0.4338,0.0632,0.503,111
75s,0.4157,0.0671,0.5172,121
74s,0.3975,0.0664,0.5361,132
73s,0.3778,0.0671,0.5551,144
72s,0.3614,0.0674,0.5712,151
65s,0.4108,0.0666,0.5226,124
64s,0.3948,0.0706,0.5346,134
63s,0.378,0.0686,0.5534,142
62s,0.3539,0.0695,0.5766,156
54s,0.3952,0.0706,0.5342,133
53s,0.3748,0.0715,0.5537,146
52s,0.3597,0.0696,0.5708,153
43s,0.3668,0.0701,0.5631,148
42s,0.3474,0.0704,0.5822,157
32s,0.3382,0.0709,0.5909,162
AKo,0.634,0.0222,0.3438,12
AQo,0.623,0.024,0.3529,14
AJo,0.6152,0.0259,0.3589,15
ATo,0.6092,0.0312,0.3596,17
A9o,0.5852,0.034,0.3807,25
A8o,0.5767,0.0376,0.3856,28
A7o,0.5633,0.0425,0.3942,36
A6o,0.5509,0.0442,0.405,41
A5o,0.5494,0.0468,0.4037,42
A4o,0.5384,0.0472,0.4144,49
A3o,0.5312,0.0472,0.4216,52
A2o,0.5204,0.0478,0.4318,60
KQo,0.5947,0.0248,0.3805,23
KJo,0.5828,0.0276,0.3896,27
KTo,0.5774,0.0323,0.3903,31
K9o,0.5563,0.0357,0.408,39
K8o,0.5334,0.039,0.4275,53
K7o,0.5248,0.0429,0.4323,58
K6o,0.5127,0.0466,0.4407,65
K5o,0.5036,0.0479,0.4485,69
K4o,0.494,0.0487,0.4573,77
K3o,0.4833,0.0497,0.4669,82
K2o,0.4734,0.0492,0.4774,87
QJo,0.5586,0.0304,0.411,40
QTo,0.5508,0.0351,0.414,47
Q9o,0.5291,0.0385,0.4324,57
Q8o,0.5062,0.0432,0.4506,68
Q7o,0.4908,0.0459,0.4632,80
Q6o,0.4789,0.0504,0.4707,84
Q5o,0.4694,0.0513,0.4793,91
Q4o,0.4619,0.0528,0.4853,95
Q3o,0.4492,0.0515,0.4993,104
Q2o,0.4367,0.0524,0.5109,113
JTo,0.532,0.0369,0.4311,56
J9o,0.5064,0.0417,0.4518,71
J8o,0.4881,0.0467,0.4652,81
J7o,0.4674,0.05,0.4826,93
J6o,0.4479,0.0545,0.4976,103
J5o,0.441,0.0551,0.5039,109
J4o,0.4286,0.0557,0.5157,117
J3o,0.4226,0.0552,0.5222,120
J2o,0.4098,0.0542,0.536,128
T9o,0.4966,0.0465,0.4569,75
T8o,0.4751,0.0496,0.4753,86
T7o,0.4545,0.0566,0.4889,99
T6o,0.4368,0.0572,0.506,111
T5o,0.4174,0.0596,0.523,123
T4o,0.4085,0.062,0.5295,126
T3o,0.3946,0.0625,0.5429,136
T2o,0.3902,0.0617,0.5482,138
98o,0.4601,0.0549,0.485,96
97o,0.44,0.0576,0.5024,108
96o,0.4214,0.0612,0.5174,119
95o,0.4006,0.0642,0.5351,131
94o,0.3783,0.0659,0.5558,145
93o,0.3723,0.0651,0.5625,147
92o,0.3607,0.0655,0.5738,155
87o,0.4285,0.0607,0.5108,115
86o,0.4097,0.0659,0.5244,125
85o,0.3875,0.0684,0.5441,137
84o,0.3668,0.068,0.5652,149
83o,0.3465,0.0685,0.585,158
82o,0.34,0.0696,0.5904,160
76o,0.4007,0.0675,0.5318,130
75o,0.3822,0.0719,0.5459,139
74o,0.359,0.0722,0.5688,151
73o,0.3386,0.0733,0.5881,159
72o,0.315,0.0724,0.6126,167
65o,0.377,0.0726,0.5503,141
64o,0.3577,0.073,0.5693,154
63o,0.3353,0.075,0.5897,163
62o,0.3144,0.0747,0.6109,166
54o,0.361,0.0767,0.5623,150
53o,0.3358,0.076,0.5882,161
52o,0.3175,0.076,0.6065,165
43o,0.3302,0.0761,0.5937,164
42o,0.3033,0.0756,0.621,168
32o,0.2954,0.0755,0.6292,169
AAo,0.8333,0.0089,0.1578,1
KKo,0.8089,0.0081,0.183,2
QQo,0.7867,0.0089,0.2044,3
JJo,0.7613,0.0105,0.2282,4
TTo,0.7313,0.0135,0.2553,5
99o,0.6953,0.016,0.2887,6
88o,0.6679,0.0188,0.3133,7
77o,0.6363,0.0215,0.3423,10
66o,0.6067,0.0239,0.3694,19
55o,0.5722,0.0265,0.4014,35
44o,0.5411,0.029,0.4299,51
33o,0.5064,0.0318,0.4618,73
22o,0.4678,0.0343,0.4978,98
